week,cancellations
1,245
2,216
3,230
4,220
5,242
6,286
7,384
8,360
9,347
10,406
11,390
12,376
13,470
14,477
15,617
16,531
17,547
18,712
19,536
20,519
21,611
22,493
23,517
24,513
25,556
26,537
27,709
28,748
29,681
30,764
31,735
32,783
33,923
34,775
35,655
36,421
37,382
38,380
39,381
40,362
41,406
42,271
43,415
44,386
45,269
46,249
47,272
48,254
49,293
50,284
51,159
52,273
53,457
