week,cancellation_rate
1,0.2842227378190255
2,0.22857142857142856
3,0.21904761904761905
4,0.19555555555555557
5,0.2198001816530427
6,0.2201693610469592
7,0.23558282208588957
8,0.2360655737704918
9,0.21975934135528816
10,0.249079754601227
11,0.23522316043425814
12,0.23903369357914814
13,0.2585258525852585
14,0.2817483756645009
15,0.3102061337355455
16,0.30569948186528495
17,0.2912673056443025
18,0.340832934418382
19,0.29564258135686705
20,0.2816060770482908
21,0.29892367906066536
22,0.2812321734169994
23,0.2761752136752137
24,0.29381443298969073
25,0.3113101903695409
26,0.30879815986198966
27,0.327331486611265
28,0.3191126279863481
29,0.30996813837050524
30,0.3271948608137045
31,0.32138172278093574
32,0.3197223356472029
33,0.33046902971715003
34,0.31112003211561623
35,0.31116389548693585
36,0.25891758917589175
37,0.2591587516960651
38,0.2324159021406728
39,0.23962264150943396
40,0.25367904695164684
41,0.24413710162357186
42,0.1875432525951557
43,0.2585669781931464
44,0.24903225806451612
45,0.20456273764258556
46,0.2182296231375986
47,0.21101629169899147
48,0.21184320266889073
49,0.2504273504273504
50,0.26970560303893637
51,0.20229007633587787
52,0.2573044297832234
53,0.32115249472944485
