month,stays,cancellations,cancellationRate
August,8638,5239,0.3775311666786769
July,7919,4742,0.37453597662112
May,7114,4677,0.39665846832329743
October,6914,4246,0.3804659498207885
March,6645,3149,0.3215233816622422
April,6565,4524,0.4079718640093787
June,6404,4535,0.4145717158789652
September,6392,4116,0.3917015607156452
February,5372,2696,0.3341596430342092
November,4672,2122,0.3123344127171033
December,4409,2371,0.3497050147492625
January,4122,1807,0.3047731489289931
