week,total_stays
1,617
2,729
3,820
4,905
5,859
6,1013
7,1246
8,1165
9,1232
10,1224
11,1268
12,1197
13,1348
14,1216
15,1372
16,1206
17,1331
18,1377
19,1277
20,1324
21,1433
22,1260
23,1355
24,1233
25,1230
26,1202
27,1457
28,1596
29,1516
30,1571
31,1552
32,1666
33,1870
34,1716
35,1450
36,1205
37,1092
38,1255
39,1209
40,1065
41,1257
42,1174
43,1190
44,1164
45,1046
46,892
47,1017
48,945
49,877
50,769
51,627
52,788
53,966
