hotel,a2015,a2016,a2017,January,February,March,April,May,June,July,August,September,October,November,December
City Hotel,13682,38140,27508,3736,4965,6458,7480,8232,7894,8088,8983,7400,7605,4357,4132
Resort Hotel,8314,18567,13179,2193,3103,3336,3609,3559,3045,4573,4894,3108,3555,2437,2648
